Name,Max,Min,Mode,Mean,Std Deviation
age,90.0,17.0,0.0,36.0,13.784356153853222

"-",-,-
SUCCESSES
Name,Frequency
State-gov,13
Self-emp-not-inc,18
Private,167
Federal-gov,11
Local-gov,16
Self-emp-inc,8

ERRORS
Name,Frequency
"?",16

"-",-,-
Name,Max,Min,Mode,Mean,Std Deviation
fnlwgt,635913.0,24215.0,0.0,191030.0,109760.8081221275

"-",-,-
SUCCESSES
Name,Frequency
Bachelors,41
HS-grad,77
11th,11
Masters,16
9th,5
Some-college,55
Assoc-acdm,12
Assoc-voc,10
7th-8th,5
Doctorate,5
Prof-school,3
5th-6th,2
10th,4
1st-4th,2
Preschool,1

ERRORS
Name,Frequency

"-",-,-
Name,Max,Min,Mode,Mean,Std Deviation
education-num,15.0,0.0,0.0,9.0,3.7378217554358897

"-",-,-
SUCCESSES
Name,Frequency
Never-married,78
Married-civ-spouse,114
Divorced,36
Separated,6
Married-AF-spouse,1
Widowed,4

ERRORS
Name,Frequency
"?",7
Married-spouse-absent,3

"-",-,-
SUCCESSES
Name,Frequency
Adm-clerical,26
Exec-managerial,30
Prof-specialty,32
Other-service,27
Sales,34
Craft-repair,31
Transport-moving,8
Farming-fishing,4
Machine-op-inspct,15
Tech-support,11
Protective-serv,6

ERRORS
Name,Frequency
Handlers-cleaners,11
"?",14

"-",-,-
SUCCESSES
Name,Frequency
Not-in-family,68
Husband,102
Wife,14
Own-child,36
Unmarried,21
Other-relative,8

ERRORS
Name,Frequency

"-",-,-
SUCCESSES
Name,Frequency
White,197
Black,29
Asian-Pac-Islander,9
Amer-Indian-Eskimo,3
Other,2

ERRORS
Name,Frequency
wite,3
Blacky,2
Whtie,1
Blac,3

"-",-,-
SUCCESSES
Name,Frequency
Male,163
Female,77

ERRORS
Name,Frequency
Man,9

"-",-,-
Name,Max,Min,Mode,Mean,Std Deviation
capital-gain,34095.0,0.0,0.0,628.0,3102.2774093394664

"-",-,-
Name,Max,Min,Mode,Mean,Std Deviation
capital-loss,2206.0,0.0,0.0,131.0,476.72834998425975

"-",-,-
Name,Max,Min,Mode,Mean,Std Deviation
hours-per-week,80.0,1.0,0.0,40.0,11.248739331417754

"-",-,-
SUCCESSES
Name,Frequency
United-States,212
Cuba,2
Jamaica,1
India,1
Mexico,8
Puerto-Rico,2
Honduras,1
England,2
Canada,1
Germany,1
Iran,2
Philippines,1
Italy,1
Poland,1
Columbia,1

ERRORS
Name,Frequency
"?",12

"-",-,-
SUCCESSES
Name,Frequency
"<=50K",175
">50K",55

ERRORS
Name,Frequency
"",19

"-",-,-
